Бластомикоза и болест на Чикаго ,B40.9
Бластомикоза и болест на Чикаго ,B40
Бластомикоза и болест на Гилкристите ,B40.9
Бластомикоза и болест на Гилкристите ,B40
Бластомикоза и северноамериканска ,B40.9
Бластомикоза и северноамериканска ,B40
Лайсна зараза и въшки ,B85.2
Лека зараза и педикулоза и фтирус ,B85.2
Дисплазия с къси ребра с или без полидактилия ,Q77.2
остра миелоидна левкемия с inv3 p21; q26.2 или t 3; 3 p21; q26.2 ,C92.0
Супуративен отит и / или ляв и / или гноен отит,H66.4
Супуративен отит и / или десен и / или гноен отит,H66.4
Супуративен отит и / или ляв и / или гноен отит,H66
Супуративен отит и / или десен и / или гноен отит,H66
AML с анормални еозинофили от костен мозък inv 16 p13q22 или t 16; 16 p13; q22 ,C92.5
остра миелоидна левкемия с анормални еозинофили от костен мозък inv 16 p13q22 или t 16; 16 p13; q22 ,C92.5
Липса или загуба на сексуално желание,F52.0
Чиста или сложна фамилна спастична параплегия,G11.4
чиста или сложна Х-свързана спастична параплегия,G11.4
чиста или сложна наследствена спастична параплегия,G11.4
Чиста или сложна X-свързана спастична параплегия,G11.4
чиста или сложна автозомна доминантна спастична параплегия,G11.4
чиста или сложна автозомно-рецесивна спастична параплегия,G11.4
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70.0
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70.1
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70.2
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70.3
"интерстициална болест на белите дробове, свързана с лекарства или радиация",J70.4
Индуциран с лекарства или токсини PAH,I27.2
Шеста или абдуцирана нервна парализа,H49.2
остър или хроничен холецистит,K81.9
остър или хроничен холецистит,K81
"белодробна артериална хипертония, предизвикана от наркотици или токсини",I27.2
Обрив от пелена или салфетка,L22
Еритема от памперс или салфетка,L22
психическо или поведенческо разстройство,F00.F
психическо или поведенческо разстройство,F99
Секторни или дъгови дефекти на зрителното поле,H53.4
Анемия с дефицит на фолиева киселина или фолиева киселина NOS,D52.9
Анемия с дефицит на фолиева киселина или фолиева киселина NOS,D52
серозен или муцинозен цистаденом от детството,D27
Тежка или пълна загуба на двигателната функция в долните крайници и долните части на багажника,G82.2
Атрезия или стеноза на нарушение на NOS на аортата ,Q25.2
болест или разстройство,N18
Rp със или без Pprpe,H35.5
"заболяване или разстройство, неопластично",N18
Нарушения на щитовидната жлеза или други жлези,E34.9
Ектазия или варикс на вената на Гален,Q28.2
Дифузна или дисеминирана вътресъдова коагулация,D65
макулен или парамакуларен фокален ретинит и ретинохороидит,H30.0
Rp със или без запазен параартериолен епител на ретината,H35.5
Климатично или тропическо бубо,A55
синдром на непълнолетни или възрастни CACH,E75.2
Пълна или непълна цветна слепота,H53.5
аневризма или дилатация на възходяща аорта,Q25.4
Стеноза или атрезия на коронарния остиум,Q24.5
стеноза или атрофия на коронарния остиум,Q24.5
Фамилна или идиопатична дилатационна кардиомиопатия,I42.0
Торакална или лумбална спондилоза с миелопатия,M47.9
Торакална или лумбална спондилоза с миелопатия,M47
Болест на Wolman или триглицериди тип III,E75.5
Пед със или без епилепсия и / или хемолитична анемия,G24.8
ASD със или без дефекти на атриовентрикуларна проводимост,Q21.1
Основна или прогресивна атрофия на ириса,H21.2
"Артрит или полиартрит, ревматичен",M06.9
Папиларен или фоликуларен карцином на щитовидната жлеза,C73
Гранична или диморфна проказа,A30.3
нарушение на рефракция или акомодация,H52.7
Трикратно клапан с разтягане или преобръщане,Q22.8
Вродена или инфантилна запушване на ануса,Q42.3
КАКУТ със или без очни нарушения,Q60.4
вроден или ранен инфантилен CACH синдром,E75.2
Ятрогенен или травматичен дефицит на хипофизата,E23.1
едностранна или асиметрична вродена глухота,H90.3
Вродена или инфантилна стриктура на пилорус,Q40.0
качествени или количествени дефекти на алфа-дистрогликана,G71.2
Макулна киста или дупка,H35.3
Шпиндел и / или епителиоидна клетка Nevus,Q82.5
Анизометропия или нарушение на анисекония NOS ,H52.3
мигрена със или без аура,G43.9
мигрена със или без аура,G43
хронично нарушение на двигателните или гласовите тикове,F95.1
Микротия със или без слухово увреждане,Q87.0
"Прееклампсия или еклампсия, наслагвана върху съществуваща хипертония",O14.9
"Прееклампсия или еклампсия, наслагвана върху съществуваща хипертония",Ø14
окулокутанен или очен албинизъм,E70.3
цепка на устната с или без цепно небце,Q36.0
цепка на устната с или без цепно небце,Q36.1
цепка на устната с или без цепно небце,Q36.9
цепка на устната с или без цепно небце,Q37.0
цепка на устната с или без цепно небце,Q37.1
цепка на устната с или без цепно небце,Q37.2
цепка на устната с или без цепно небце,Q37.3
цепка на устната с или без цепно небце,Q37.4
цепка на устната с или без цепно небце,Q37.5
цепка на устната с или без цепно небце,Q37.8
цепка на устната с или без цепно небце,Q37.9
"Дефект, патент или постоянен, ostium secundum",Q21.1
Тумор или лимфом на Бъркит,C83.7
Паротидна аплазия или хипоплазия,Q10.4
Паротидна аплазия или хипоплазия,Q38.4
Миокимия 1 С или без хипомагнезиемия,G11.8
Болест на Алперс или дегенерация на сива материя,G31.8
анормален произход или аберантен ход на коронарната артерия,Q24.5
Треска: коремен тиф или ентерит ,A01.0
"фокална, сегментарна или мултифокална дистония",G24.3
